一	yi	35278860
乙	yi	32048
二	vr	2073729
十	si	2567177
丁	dy	278627
厂	ch	140040
七	qi	638221
卜	bo	57367
人	rf	18435295
入	ru	1472056
八	ba	740031
九	jq	506014
几	ji	2760667
儿	vr	2850098
了	le	3481243
力	li	3298612
乃	nl	155797
刀	dk	723425
又	yb	3710252
三	sj	2747794
于	yu	1614992
干	gj	1197831
亏	kv	126054
士	si	1175727
工	gs	1242237
土	tu	402279
才	cl	2774963
寸	cp	85513
下	xw	8550882
大	da	10828984
丈	zh	238063
与	yu	2104552
万	mo	1201402
上	sh	11918291
小	xc	6383822
口	ki	2375024
巾	jn	87648
山	sj	1526952
千	qm	794964
乞	qi	51739
川	cr	193133
亿	yi	843650
个	ge	14789406
勺	sk	21195
久	jq	737479
凡	fj	320342
及	ji	1839825
夕	xi	81778
丸	wj	40281
么	me	9727
广	gd	374959
亡	wh	286000
门	mf	223346
义	yi	667264
之	zi	1173763
尸	si	233817
弓	gs	120521
己	ji	456925
已	yi	3720796
子	zi	8641973
卫	wz	504141
也	ye	9508702
女	nv	3362646
飞	fz	1593771
刃	rf	84243
习	xi	487160
叉	ca	54152
马	ma	1729443
乡	xd	228067
丰	fg	169048
王	wh	1891711
井	jy	98246
开	kl	4346834
夫	fu	890506
天	tm	6797499
无	mo	4177289
元	yr	732265
专	zr	360222
云	yp	1205872
扎	za	204372
艺	yi	226121
木	mu	547209
五	wu	1170398
支	zi	532396
厅	ty	297396
不	bu	2985809
太	tl	1962845
犬	qr	40178
区	vb	485061
历	li	492045
尤	yb	229183
友	yb	869919
匹	pi	97644
车	ce	1338066
巨	ju	453729
牙	ya	300629
屯	tp	19049
比	bi	1844194
互	hu	215472
切	qx	900592
瓦	wa	108370
止	zi	472691
少	sk	1940099
日	ri	1944999
中	zs	7680869
冈	gh	28197
贝	bz	211741
内	nz	1509530
水	sv	1817943
见	jm	3460998
午	wu	350826
牛	nq	313393
手	sb	5076179
毛	mk	469562
气	qi	3227369
升	sg	307512
长	ch	3100060
仁	rf	179004
什	sf	482836
片	pm	859001
仆	pu	62312
化	hw	951401
仇	cb	208949
币	bi	104705
仍	rg	434011
仅	jn	466676
斤	jn	64823
爪	zk	74674
反	fj	1250683
介	jx	261749
父	fu	875667
从	cs	3173776
今	jn	1337566
凶	xs	182557
分	ff	2568782
乏	fa	78100
公	gs	2055138
仓	ch	68847
月	yt	546594
氏	si	165389
勿	wu	29378
欠	qm	85134
风	fg	2175031
丹	dj	255714
匀	yp	19505
乌	wu	169572
凤	fg	288364
勾	gb	105524
文	wf	1637873
六	lq	635084
方	fh	347176
火	ho	1180390
为	wz	7309300
斗	db	562155
忆	yi	229878
订	dy	65104
计	ji	747431
户	hu	227191
认	rf	1184729
心	xn	1555833
尺	ce	102253
引	yn	489419
丑	cb	95998
巴	ba	523594
孔	ks	218377
队	dv	1255383
办	bj	956075
以	yi	6523162
允	yp	100455
予	yu	105542
劝	qr	142540
双	sd	1011629
书	su	1083351
幻	hr	248831
玉	yu	721753
刊	kj	44631
示	si	492951
末	mo	137858
未	wz	758953
击	ji	1010628
打	da	2882337
巧	qc	241945
正	zg	2933903
扑	pu	252812
扒	ba	25334
功	gs	945623
扔	rg	141002
去	qu	7182400
甘	gj	153739
世	si	1305454
古	gu	621960
节	jx	511250
本	bf	2579524
术	su	579874
可	ke	1069176
丙	by	11170
左	zo	538289
厉	li	352288
右	yb	483406
石	dj	885579
布	bu	591571
龙	ls	1509393
平	py	1439957
灭	mx	280837
轧	ga	4919
东	ds	1783570
卡	ka	402256
北	bz	718033
占	zj	246282
业	ye	938051
旧	jq	275220
帅	sy	207990
归	gv	270263
且	qx	1092816
旦	dj	154394
目	mu	1365310
叶	xx	625969
甲	jw	253580
申	sf	78049
叮	dy	62022
电	dm	1308303
